id;idcor;authors;year;ref;doi;url;experiment.type;condition;stress;location;nb.site;names.s1;names.s2;names.s3;names.s4;names.s5;trace;lat.dms.s1;lat.dir.s1;long.dms.s1;long.dir.s1;lat.dms.s2;lat.dir.s2;long.dms.s2;long.dir.s2;lat.dms.s3;lat.dir.s3;long.dms.s3;long.dir.s3;lat.dms.s4;lat.dir.s4;long.dms.s4;long.dir.s4;lat.dms.s5;lat.dir.s5;long.dms.s5;long.dir.s5;life.form;veg.sp;veg.type;bio.scale;bio.scale.genera;nb.sp.reported;fitness;RGR.authors;RGR.min.authors;RGR.max.authors;RGR.unit.authors;RGR;RGR.min;RGR.max;RGR.unit;RGR.eq;RGR.dataset;RGR.dataset.period;trait.dataset;Traits.Dataset.period;RGR.stage;trait.stage;stage;stage.reported;stage.simi;trait.size.unit;measure.size;size.min;size.max;size.mean.range;trait.org;trait;trait.def;trait.min;trait.max;trait.unit;sample.size;relation.sign;coef.value.recorded;coef;coef.type
2;11;Aiba.and.Nakashizuka;2009;Aiba.and.Nakashizuka.2009;10.1111/j.1365-2745.2009.01522.x;http://onlinelibrary.wiley.com/doi/10.1111/j.1365-2745.2009.01522.x/pdf;field_forest understory;natural;unstressed;Malaysia_Sarawat;1;Lambir Hills tiol Park;NA;NA;NA;NA;point;04:02:00/N;N;113:50:00/E;E;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;woody;;tropical rain forest;intersp;intersp;16;growth;RGR(Hi);0,006;0,043;m.m-1.year-1;RGR(Hi);0,006;0,043;cm.cm-1.yr-1;(logHfinal-logHinitial)/time;local;2005-2007;literature.and.field;2007;sapling?;sapling;sapling;y;Sim;H;height;1,5;1,5;1,5;Hmax;Hmax;asymptotic maximal height;3;65;m;172;N;-0,32;-0,32;Pearson
2;12;Aiba.and.Nakashizuka;2009;Aiba.and.Nakashizuka.2009;10.1111/j.1365-2745.2009.01522.x;http://onlinelibrary.wiley.com/doi/10.1111/j.1365-2745.2009.01522.x/pdf;field_forest understory;natural;unstressed;Malaysia_Sarawat;1;Lambir Hills tiol Park;NA;NA;NA;NA;point;04:02:00/N;N;113:50:00/E;E;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;woody;;tropical rain forest;intersp;intersp;16;growth;RGR(Mi);0,1;0,22;mg.g-1.day-1;RGR(Mi);0,0365;0,0803;g.g-1.y-1;(logMfinal-logMinitial)/time;local;2005-2007;local;2007;sapling?;sapling;sapling;y;Sim;H;height;1,5;1,5;1,5;NARarea;NARarea;Rate of dry mass increment per unit leaf area;0,018;0,058;g.m-2.d-1;172;P;0,68;0,68;Pearson
2;13;Aiba.and.Nakashizuka;2009;Aiba.and.Nakashizuka.2009;10.1111/j.1365-2745.2009.01522.x;http://onlinelibrary.wiley.com/doi/10.1111/j.1365-2745.2009.01522.x/pdf;field_forest understory;natural;unstressed;Malaysia_Sarawat;1;Lambir Hills tiol Park;NA;NA;NA;NA;point;04:02:00/N;N;113:50:00/E;E;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;woody;;tropical rain forest;intersp;intersp;16;growth;RGR(Hi);0,006;0,043;m.m-1.year-1;RGR(Hi);0,006;0,043;cm.cm-1.yr-1;(logHfinal-logHinitial)/time;local;2005-2007;local;2007;sapling?;sapling;sapling;y;Sim;H;height;1,5;1,5;1,5;NARarea;NARarea;Rate of dry mass increment per unit leaf area;0,018;0,058;g.m-2.d-1;172;P;0,11;0,11;Pearson
2;14;Aiba.and.Nakashizuka;2009;Aiba.and.Nakashizuka.2009;10.1111/j.1365-2745.2009.01522.x;http://onlinelibrary.wiley.com/doi/10.1111/j.1365-2745.2009.01522.x/pdf;field_forest understory;natural;unstressed;Malaysia_Sarawat;1;Lambir Hills tiol Park;NA;NA;NA;NA;point;04:02:00/N;N;113:50:00/E;E;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;woody;;tropical rain forest;intersp;intersp;16;growth;RGR(Hi);0,006;0,043;m.m-1.year-1;RGR(Hi);0,006;0,043;cm.cm-1.yr-1;(logHfinal-logHinitial)/time;local;2005-2007;local;2007;sapling?;sapling;sapling;y;Sim;H;height;1,5;1,5;1,5;SLA;SLA;Specific leaf area;11;22;cm2.g-1;172;P;0,13;0,13;Pearson
2;15;Aiba.and.Nakashizuka;2009;Aiba.and.Nakashizuka.2009;10.1111/j.1365-2745.2009.01522.x;http://onlinelibrary.wiley.com/doi/10.1111/j.1365-2745.2009.01522.x/pdf;field_forest understory;natural;unstressed;Malaysia_Sarawat;1;Lambir Hills tiol Park;NA;NA;NA;NA;point;04:02:00/N;N;113:50:00/E;E;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;woody;;tropical rain forest;intersp;intersp;16;growth;RGR(Mi);0,1;0,22;mg.g-1.day-1;RGR(Mi);0,0365;0,0803;g.g-1.y-1;(logMfinal-logMinitial)/time;local;2005-2007;local;2007;sapling?;sapling;sapling;y;Sim;H;height;1,5;1,5;1,5;LATotal;LATotal;LATotal;NA;NA;NA;172;N;-0,18;-0,18;Pearson
2;16;Aiba.and.Nakashizuka;2009;Aiba.and.Nakashizuka.2009;10.1111/j.1365-2745.2009.01522.x;http://onlinelibrary.wiley.com/doi/10.1111/j.1365-2745.2009.01522.x/pdf;field_forest understory;natural;unstressed;Malaysia_Sarawat;1;Lambir Hills tiol Park;NA;NA;NA;NA;point;04:02:00/N;N;113:50:00/E;E;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;woody;;tropical rain forest;intersp;intersp;16;growth;RGR(Hi);0,006;0,043;m.m-1.year-1;RGR(Hi);0,006;0,043;cm.cm-1.yr-1;(logHfinal-logHinitial)/time;local;2005-2007;local;2007;sapling?;sapling;sapling;y;Sim;H;height;1,5;1,5;1,5;LATotal;LATotal;LATotal;NA;NA;NA;172;P;0,14;0,14;Pearson
3;17;Antunez.et.al;2001;Antunez.et.al.2001;10.1007/s004420100645;http://link.springer.com/article/10.1007/s004420100645;glasshouse;control;unstressed;Spain_Rabanales;1;University;NA;NA;NA;NA;point;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;woody;;mix;intersp;intersp;16;growth;RGR(Mi);12,8;60,5;mg.g-1.day-1;RGR(Mi);4,672;22,0825;g.g-1.y-1;NA;local;2001;local;2001;seedling;seedling;juvenile;y;Sim;A;age;0,301369863;0,301369863;0,301369863;SLA;SLA;Specific leaf area;94;349;cm2.g-1;16;P;0,89;0,89;CoefCorR
3;18;Antunez.et.al;2001;Antunez.et.al.2001;10.1007/s004420100645;http://link.springer.com/article/10.1007/s004420100645;glasshouse;control;unstressed;Spain_Rabanales;1;University;NA;NA;NA;NA;point;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;woody;decidous vs evergreen, Iberian Peninsula/central and eastern North America/Australia;mix;intersp;intersp;16;growth;RGR(Mi);12,8;60,5;mg.g-1.day-1;RGR(Mi);4,672;22,0825;g.g-1.y-1;NA;local;2001;local;2001;seedling;seedling;juvenile;y;Sim;A;age;0,301369863;0,301369863;0,301369863;LAR;LAR;Leaf area ratio ;NA;NA;NA;16;P;0,97;0,97;CoefCorR
3;19;Antunez.et.al;2001;Antunez.et.al.2001;10.1007/s004420100645;http://link.springer.com/article/10.1007/s004420100645;glasshouse;control;unstressed;Spain_Rabanales;1;University;NA;NA;NA;NA;point;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;woody;decidous vs evergreen, Iberian Peninsula/central and eastern North America/Australia;mix;intersp;intersp;16;growth;RGR(Mi);12,8;60,5;mg.g-1.day-1;RGR(Mi);4,672;22,0825;g.g-1.y-1;NA;local;2001;local;2001;seedling;seedling;juvenile;y;Sim;A;age;0,301369863;0,301369863;0,301369863;NARarea;NARarea;net photosynthetic rate per unit area;NA;NA;NA;16;P;0,36;0,36;CoefCorR
3;20;Antunez.et.al;2001;Antunez.et.al.2001;10.1007/s004420100645;http://link.springer.com/article/10.1007/s004420100645;glasshouse;control;unstressed;Spain_Rabanales;1;University;NA;NA;NA;NA;point;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;woody;decidous vs evergreen, Iberian Peninsula/central and eastern North America/Australia;mix;intersp;intersp;16;growth;RGR(Mi);12,8;60,5;mg.g-1.day-1;RGR(Mi);4,672;22,0825;g.g-1.y-1;NA;local;2001;local;2001;seedling;seedling;juvenile;y;Sim;A;age;0,301369863;0,301369863;0,301369863;LMR;LMR;Leaf mass ratio;NA;NA;NA;16;P;0,63;0,63;CoefCorR
4;21;Atkin.et.al;1998;Atkin.et.al.1998;10.1046/j.1365-3040.1998.00356.x;http://onlinelibrary.wiley.com/doi/10.1046/j.1365-3040.1998.00356.x/full;glasshouse;control;unstressed;Australia_NSW_Canberra;1;University ;NA;NA;NA;NA;point;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;tree;AccaciaSP;mix;intersp;intragenus;10;growth;RGR(Mi);48,3;94;mg.g-1.d-1;RGR(Mi);17,6295;34,31;g.g-1.y-1;RGR = SLA_ LMR _ NAR;local;1998;local;1998;seedling;seedling;juvenile;y;Sim;A;age;0,230136986;0,230136986;0,230136986;LAR;LAR;Leaf area ratio, leaf area:plant mass;6;13;m2.kg-1;10;P;0,951;0,951;CoefRegR
4;22;Atkin.et.al;1998;Atkin.et.al.1998;10.1046/j.1365-3040.1998.00356.x;http://onlinelibrary.wiley.com/doi/10.1046/j.1365-3040.1998.00356.x/full;glasshouse;control;unstressed;Australia_NSW_Canberra;1;University ;NA;NA;NA;NA;point;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;tree;AccaciaSP;mix;intersp;intragenus;10;growth;RGR(Mi);48,3;94;mg.g-1.d-1;RGR(Mi);17,6295;34,31;g.g-1.y-1;RGR = SLA_ LMR _ NAR;local;1998;local;1998;seedling;seedling;juvenile;y;Sim;A;age;0,230136986;0,230136986;0,230136986;LMR;LMR;leaf mass ratio leaf mass:plant mass;0,37;0,57;g.g-1;10;O;-0,692;-0,692;CoefRegR
4;23;Atkin.et.al;1998;Atkin.et.al.1998;10.1046/j.1365-3040.1998.00356.x;http://onlinelibrary.wiley.com/doi/10.1046/j.1365-3040.1998.00356.x/full;glasshouse;control;unstressed;Australia_NSW_Canberra;1;University ;NA;NA;NA;NA;point;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;tree;AccaciaSP;mix;intersp;intragenus;10;growth;RGR(Mi);48,3;94;mg.g-1.d-1;RGR(Mi);17,6295;34,31;g.g-1.y-1;RGR = SLA_ LMR _ NAR;local;1998;local;1998;seedling;seedling;juvenile;y;Sim;A;age;0,230136986;0,230136986;0,230136986;LeafNP;LeafNP;Leaf nitrogen productivity rate drymassincrease:leafnitrogen;NA;NA;NA;10;P;0,958;0,958;CoefRegR
4;24;Atkin.et.al;1998;Atkin.et.al.1998;10.1046/j.1365-3040.1998.00356.x;http://onlinelibrary.wiley.com/doi/10.1046/j.1365-3040.1998.00356.x/full;glasshouse;control;unstressed;Australia_NSW_Canberra;1;University ;NA;NA;NA;NA;point;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;tree;AccaciaSP;mix;intersp;intragenus;10;growth;RGR(Mi);48,3;94;mg.g-1.d-1;RGR(Mi);17,6295;34,31;g.g-1.y-1;RGR = SLA_ LMR _ NAR;local;1998;local;1998;seedling;seedling;juvenile;y;Sim;A;age;0,230136986;0,230136986;0,230136986;NARarea;NARarea;Rate of dry mass increment per unit leaf area;6,5;8;g.m-2.d-1;10;O;-0,074;-0,074;CoefRegR
4;25;Atkin.et.al;1998;Atkin.et.al.1998;10.1046/j.1365-3040.1998.00356.x;http://onlinelibrary.wiley.com/doi/10.1046/j.1365-3040.1998.00356.x/full;glasshouse;control;unstressed;Australia_NSW_Canberra;1;University ;NA;NA;NA;NA;point;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;tree;AccaciaSP;mix;intersp;intragenus;10;growth;RGR(Mi);48,3;94;mg.g-1.d-1;RGR(Mi);17,6295;34,31;g.g-1.y-1;RGR = SLA_ LMR _ NAR;local;1998;local;1998;seedling;seedling;juvenile;y;Sim;A;age;0,230136986;0,230136986;0,230136986;SFA;SFA;Specific foliage area;NA;NA;NA;10;P;0,868;0,868;CoefRegR
4;26;Atkin.et.al;1998;Atkin.et.al.1998;10.1046/j.1365-3040.1998.00356.x;http://onlinelibrary.wiley.com/doi/10.1046/j.1365-3040.1998.00356.x/full;glasshouse;control;unstressed;Australia_NSW_Canberra;1;University ;NA;NA;NA;NA;point;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;tree;AccaciaSP;mix;intersp;intragenus;10;growth;RGR(Mi);48,3;94;mg.g-1.d-1;RGR(Mi);17,6295;34,31;g.g-1.y-1;RGR = SLA_ LMR _ NAR;local;1998;local;1998;seedling;seedling;juvenile;y;Sim;A;age;0,230136986;0,230136986;0,230136986;SLA;SLA;Specific leaf area;134;319;cm2.g-1;10;P;0,801;0,801;CoefRegR
5;27;Augspurger;1984;Augspurger.1984;10.2307/2259531;http://www.jstor.org/stable/2259531?origin=crossref;shadehouse;L_low;stressed;Panama;1;Barro Colorado Island;NA;NA;NA;NA;point;09:10:00/N;N;79:50:00/W;W;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;tree;;tropical rain forest;intersp;intersp;18;growth;GR(Hi);NA;NA;NA;GR(Hi);NA;NA;cm.yr-1;slope of the regression of height on time;local;1984;local;1980-1985;seedling;seedling;juvenile;y;Sim;A;age;1;1;1;Seedmass;Seedmass;dry seed mass;0,0029;0,444;g;17;O;0,411;0,411;Pearson
